OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
seq3899,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,uncultured bacterium,
seq3900,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured bacterium,
seq3901,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,metagenome
seq3902,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,uncultured Acidobacterium sp.,
seq3903,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,uncultured bacterium
seq3904,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,uncultured bacterium
seq3905,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,uncultured bacterium,,
seq3906,ML_predicted_Phylum: Patescibacteria,,,,,,
seq3907,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,uncultured,uncultured soil bacterium
seq3908,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured planctomycete,
seq3909,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,uncultured bacterium,
seq3910,ML_predicted_Phylum: Patescibacteria,,,,,,
seq3911,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,uncultured bacterium
seq3912,Bacteria,Acidobacteriota,Holophagae,Subgroup 7,uncultured bacterium,,
seq3913,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,metagenome
seq3914,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
seq3915,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Labraceae,Labrys,uncultured bacterium
seq3916,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,uncultured bacterium
seq3917,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,,
seq3918,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured bacterium,
seq3919,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,uncultured,uncultured bacterium
seq3920,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,uncultured bacterium,
seq3921,Bacteria,Actinobacteriota,Acidimicrobiia,uncultured,uncultured bacterium,,
seq3922,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured actinobacterium
seq3923,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,uncultured bacterium
seq3924,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured bacterium
seq3925,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,uncultured Alphaproteobacteria bacterium
seq3926,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,uncultured,uncultured bacterium,
seq3927,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,uncultured bacterium,
seq3928,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,uncultured Acidobacteria bacterium,
seq3929,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,uncultured bacterium,
seq3930,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured actinobacterium
seq3931,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter,uncultured bacterium
seq3932,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured Acidobacteria bacterium
seq3933,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,uncultured Spartobacteria bacterium
seq3934,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium
seq3935,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Skermanella,uncultured soil bacterium
seq3936,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured archaeon,
seq3937,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,uncultured Bacteroidetes bacterium
seq3938,Bacteria,Chloroflexi,Dehalococcoidia,S085,uncultured soil bacterium,,
seq3939,Bacteria,Chloroflexi,Gitt-GS-136,uncultured bacterium,,,
seq3940,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured bacterium,
seq3941,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,uncultured Bacteroidetes bacterium
seq3942,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,uncultured gamma proteobacterium,,
seq3943,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,uncultured bacterium,
seq3944,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured crenarchaeote,
seq3945,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,uncultured bacterium
seq3946,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,uncultured bacterium
seq3947,Bacteria,Acidobacteriota,Holophagae,Subgroup 7,uncultured bacterium,,
seq3948,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured Acidobacteria bacterium
seq3949,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes,uncultured bacterium
seq3950,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured bacterium
seq3951,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,uncultured Steroidobacter sp.
seq3952,ML_predicted_Phylum: Planctomycetota,,,,,,
seq3953,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,uncultured,uncultured bacterium
seq3954,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,uncultured bacterium,
seq3955,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,uncultured bacterium
seq3956,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Ohtaekwangia,uncultured Bacteroidetes bacterium
seq3957,Unclassified,,,,,,
seq3958,Unclassified,,,,,,
seq3959,Bacteria,Planctomycetota,OM190,uncultured bacterium,,,
seq3960,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured bacterium
seq3961,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,Oligoflexus,Thymallus thymallus (grayling)
seq3962,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,uncultured bacterium
seq3963,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,uncultured,uncultured Alphaproteobacteria bacterium
seq3964,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,metagenome
seq3965,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,uncultured bacterium
seq3966,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,uncultured bacterium,
seq3967,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured archaeon,
seq3968,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,uncultured bacterium,,
seq3969,Bacteria,Myxococcota,bacteriap25,uncultured bacterium,,,
seq3970,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,uncultured bacterium
seq3971,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus zeae
seq3972,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ideonella,Aquincola sp. THE-49
seq3973,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured bacterium
seq3974,Unclassified,,,,,,
seq3975,Unclassified,,,,,,
seq3976,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured crenarchaeote,
seq3977,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,uncultured Rubrobacteria bacterium,
seq3978,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. LC028
seq3979,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,Reyranella soli
seq3980,Bacteria,Chloroflexi,Gitt-GS-136,uncultured bacterium #0319-6C24,,,
seq3981,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrocosmicus,uncultured archaeon
seq3982,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured bacterium,
seq3983,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,uncultured bacterium
seq3984,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured Acidobacteria bacterium
seq3985,Bacteria,Actinobacteriota,Acidimicrobiia,uncultured,uncultured bacterium,,
seq3986,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,WX65,uncultured bacterium,
seq3987,Bacteria,Chloroflexi,Gitt-GS-136,uncultured Chloroflexus sp.,,,
seq3988,Bacteria,RCP2-54,uncultured bacterium,,,,
seq3989,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,uncultured Verrucomicrobia bacterium
seq3990,Bacteria,Acidobacteriota,Subgroup 18,uncultured bacterium,,,
seq3991,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium
seq3992,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,metagenome,
seq3993,ML_predicted_Phylum: Bacteroidota,,,,,,
seq3994,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,,
seq3995,Unclassified,,,,,,
seq3996,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup 17,uncultured Acidobacteria bacterium,,
seq3997,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured archaeon,
seq3998,Unclassified,,,,,,
seq3999,Unclassified,,,,,,
seq4000,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29 marine group,uncultured bacterium
seq4001,Bacteria,Myxococcota,bacteriap25,uncultured bacterium,,,
seq4002,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,uncultured bacterium,
seq4003,Bacteria,Chloroflexi,KD4-96,uncultured bacterium,,,
seq4004,Bacteria,Proteobacteria,Gammaproteobacteria,CCD24,uncultured bacterium,,
seq4005,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,uncultured bacterium
seq4006,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,uncultured bacterium,
seq4007,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseimicrobium,uncultured Verrucomicrobiaceae bacterium
seq4008,Unclassified,,,,,,
seq4009,Unclassified,,,,,,
seq4010,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,uncultured bacterium
seq4011,Bacteria,Actinobacteriota,Acidimicrobiia,uncultured,uncultured Actinomycetales bacterium,,
seq4012,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,uncultured bacterium,
seq4013,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured bacterium
seq4014,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured bacterium,
seq4015,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,uncultured Rhizobiales bacterium
seq4016,Unclassified,,,,,,
seq4017,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,uncultured Gemmatimonadales bacterium
seq4018,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,KD3-93,uncultured Bacteroidetes bacterium,
seq4019,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured Gaiella sp.,
seq4020,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
seq4021,ML_predicted_Phylum: Patescibacteria,,,,,,
seq4022,ML_predicted_Phylum: Planctomycetota,,,,,,
seq4023,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,uncultured bacterium
seq4024,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,uncultured bacterium gp4
seq4025,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,uncultured bacterium
seq4026,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia,uncultured bacterium
seq4027,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,uncultured,uncultured bacterium
seq4028,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured crenarchaeote,
seq4029,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,uncultured bacterium
seq4030,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured bacterium
seq4031,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,uncultured Acidobacteria bacterium,
seq4032,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,uncultured Cellulomonadaceae bacterium,,
seq4033,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
seq4034,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,uncultured,uncultured bacterium
seq4035,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,,
seq4036,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,uncultured bacterium
seq4037,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,uncultured bacterium
seq4038,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured bacterium,
seq4039,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured bacterium
seq4040,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup 17,uncultured bacterium,,
seq4041,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,uncultured,uncultured bacterium
seq4042,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,uncultured bacterium,
seq4043,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,uncultured bacterium,
seq4044,ML_predicted_Phylum: Bacteroidota,,,,,,
seq4045,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia,uncultured bacterium
seq4046,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,uncultured bacterium
seq4047,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Sorangium,uncultured bacterium
seq4048,Bacteria,Actinobacteriota,Acidimicrobiia,uncultured,metagenome,,
seq4049,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,uncultured bacterium
seq4050,Unclassified,,,,,,
seq4051,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,uncultured bacterium,,
seq4052,Bacteria,Myxococcota,bacteriap25,uncultured bacterium,,,
seq4053,ML_predicted_Phylum: Planctomycetota,,,,,,
seq4054,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus Xiphinematobacter,uncultured bacterium
seq4055,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,uncultured,uncultured Acidobacteria bacterium
seq4056,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,uncultured bacterium
seq4057,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,uncultured bacterium,
seq4058,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured bacterium
seq4059,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,uncultured bacterium
seq4060,Unclassified,,,,,,
seq4061,Unclassified,,,,,,
seq4062,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,uncultured bacterium
seq4063,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,uncultured bacterium
seq4064,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,Nannocystis,metagenome
seq4065,ML_predicted_Phylum: Planctomycetota,,,,,,
seq4066,Bacteria,NB1-j,uncultured bacterium,,,,
seq4067,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp.
seq4068,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
seq4069,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,uncultured bacterium,
seq4070,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,uncultured bacterium
seq4071,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,uncultured bacterium
seq4072,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,uncultured bacterium
seq4073,ML_predicted_Phylum: Bacteroidota,,,,,,
seq4074,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup 17,uncultured Acidobacteriales bacterium,,
seq4075,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,uncultured bacterium
seq4076,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,uncultured Rubrobacteria bacterium,
seq4077,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,uncultured planctomycete
seq4078,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,metagenome
seq4079,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,uncultured bacterium
seq4080,Unclassified,,,,,,
seq4081,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured bacterium,
seq4082,Bacteria,Myxococcota,bacteriap25,uncultured bacterium,,,
seq4083,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,uncultured,uncultured actinobacterium
seq4084,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,uncultured archaeon,,
seq4085,Bacteria,Planctomycetota,OM190,uncultured bacterium,,,
seq4086,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,metagenome,
seq4087,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,metagenome,
seq4088,Bacteria,Myxococcota,bacteriap25,uncultured bacterium,,,
seq4089,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,uncultured bacterium
seq4090,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,uncultured,uncultured bacterium
seq4091,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium
seq4092,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured Acidobacteria bacterium,
seq4093,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
seq4094,ML_predicted_Phylum: Patescibacteria,,,,,,
seq4095,Bacteria,Actinobacteriota,MB-A2-108,uncultured bacterium,,,
seq4096,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium
seq4097,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured bacterium,
seq4098,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,metagenome
seq4099,Bacteria,Myxococcota,bacteriap25,uncultured bacterium,,,
seq4100,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,uncultured,uncultured bacterium
seq4101,Bacteria,Elusimicrobiota,Lineage IIb,uncultured soil bacterium,,,
seq4102,ML_predicted_Phylum: Proteobacteria,,,,,,
seq4103,Bacteria,Elusimicrobiota,Lineage IIa,uncultured bacterium,,,
seq4104,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Hassallia,uncultured Sphingobacteriales bacterium
seq4105,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,uncultured bacterium,
seq4106,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured bacterium,
seq4107,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured bacterium
seq4108,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,uncultured,metagenome
seq4109,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,uncultured bacterium
seq4110,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,uncultured bacterium,
seq4111,Unclassified,,,,,,
seq4112,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,uncultured,metagenome,
seq4113,ML_predicted_Phylum: Verrucomicrobiota,,,,,,
seq4114,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,uncultured bacterium
seq4115,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured bacterium
seq4116,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,uncultured bacterium
seq4117,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,uncultured,uncultured bacterium
seq4118,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,metagenome
seq4119,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingomonas sp. FS61
seq4120,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium
seq4121,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,uncultured Verrucomicrobia bacterium,
seq4122,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Telmatocola,metagenome
seq4123,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured bacterium,
seq4124,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured crenarchaeote,
seq4125,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured actinobacterium
seq4126,Bacteria,Actinobacteriota,Thermoleophilia,uncultured,uncultured bacterium,,
seq4127,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI 0001001-H03,uncultured Acidobacteria bacterium
seq4128,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,uncultured,uncultured delta proteobacterium
seq4129,Unclassified,,,,,,
seq4130,Unclassified,,,,,,
seq4131,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,37-13,uncultured soil bacterium,
seq4132,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,metagenome
seq4133,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,uncultured Verrucomicrobia bacterium
seq4134,Bacteria,Planctomycetota,OM190,uncultured bacterium,,,
seq4135,Bacteria,Acidobacteriota,Subgroup 25,uncultured bacterium,,,
seq4136,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured bacterium,
seq4137,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseimicrobium,metagenome
seq4138,Bacteria,Acidobacteriota,Acidobacteriae,Subgroup 15,uncultured bacterium,,
seq4139,Bacteria,Planctomycetota,OM190,uncultured bacterium,,,
seq4140,Unclassified,,,,,,
seq4141,Unclassified,,,,,,
seq4142,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,uncultured bacterium,
seq4143,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Pseudoflavitalea,metagenome
seq4144,Bacteria,Bacteroidota,Bacteroidia,Bacteroidetes VC2.1 Bac22,metagenome,,
seq4145,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured bacterium,
seq4146,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,uncultured bacterium
seq4147,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,uncultured planctomycete
seq4148,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,uncultured Xanthomonadales bacterium
seq4149,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,uncultured Alphaproteobacteria bacterium
seq4150,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,uncultured bacterium,
seq4151,Bacteria,Chloroflexi,AD3,uncultured bacterium,,,
seq4152,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium
seq4153,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,metagenome
seq4154,Unclassified,,,,,,
seq4155,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,uncultured bacterium
seq4156,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,Microvirga makkahensis
seq4157,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
